,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
298,touros,20,BR,1569565218,94,-5.2,-35.46,294.15,2.1
299,nouadhibou,0,MR,1569565608,88,20.93,-17.03,293.15,7.2
300,maceio,40,BR,1569565801,94,-9.67,-35.74,293.15,1.5
301,nikolskoye,90,RU,1569565801,87,59.7,30.79,282.04,2.0
302,dunedin,65,NZ,1569565585,72,-45.87,170.5,284.26,8.05
303,coquimbo,90,CL,1569565591,87,-29.95,-71.34,285.15,2.6
304,cockburn town,47,TC,1569565510,75,21.46,-71.14,301.652,3.73
305,mar del plata,100,AR,1569565527,51,-46.43,-67.52,284.262,7.83
306,buala,18,SB,1569565802,69,-8.15,159.59,301.572,2.02
307,great bend,90,US,1569565802,88,38.36,-98.78,295.15,5.7
308,belaya gora,92,RU,1569565803,54,68.54,146.19,274.612,1.5
309,ucluelet,0,CA,1569565805,82,48.94,-125.55,285.37,15.99
310,mount gambier,90,AU,1569565619,58,-37.83,140.78,285.15,9.3
311,gazimurskiy zavod,36,RU,1569565806,29,51.55,118.33,296.322,5.4
312,broome,0,GB,1569565563,93,52.47,1.45,287.15,3.6
313,nampula,75,MZ,1569565807,82,-15.12,39.26,292.15,6.2
314,nantucket,1,US,1569565639,87,41.28,-70.1,288.71,2.6
315,mahon,75,IE,1569565807,93,51.89,-8.4,285.15,8.2
316,srednekolymsk,78,RU,1569565809,54,67.46,153.71,275.002,1.79
317,le port,4,FR,1569565810,94,42.87,1.37,286.48,1.43
318,tres arroyos,100,AR,1569565810,65,-38.38,-60.28,279.572,4.29
319,wenling,34,CN,1569565811,47,28.38,121.38,305.93,2.44
320,omsukchan,100,RU,1569565812,78,62.53,155.8,268.712,2.14
321,arona,75,IT,1569565813,93,45.76,8.56,292.04,2.1
322,college,75,US,1569565813,100,64.86,-147.8,275.37,1.29
323,soyo,75,AO,1569565814,94,-6.13,12.37,297.15,1.5
324,copiapo,0,CL,1569565587,71,-27.37,-70.33,286.15,2.1
325,eregli,8,TR,1569565815,44,37.51,34.05,293.922,0.76
326,pucallpa,40,PE,1569565815,83,-8.38,-74.54,298.15,6.7
